単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/5/2,4:00,20848,1316,7289,2365,102,768,1527,0,472,0,0,392,0,1755,2,4541,319,20848
2026/5/2,4:30,20822,1315,7135,2279,101,752,1540,0,472,0,0,375,0,1712,2,4832,307,20822
2026/5/2,5:00,20672,1315,7458,2187,101,729,1534,0,471,107,0,394,0,1282,0,4792,302,20672
2026/5/2,5:30,20351,1316,7468,2140,101,726,1525,0,472,905,0,392,0,997,0,4026,283,20351
2026/5/2,6:00,20006,1315,6226,2020,101,724,1512,0,472,2184,0,379,0,563,1,4254,255,20006
2026/5/2,6:30,19802,1316,6052,1918,101,758,1481,0,470,4029,0,385,0,-766,0,3815,244,19803
2026/5/2,7:00,20212,1315,6204,1825,101,801,1468,0,468,6236,0,352,0,-2638,0,3855,226,20213
2026/5/2,7:30,20988,1314,5770,1760,91,789,1466,0,465,8450,0,343,0,-4750,0,5072,218,20988
2026/5/2,8:00,21129,1315,5867,1661,83,748,1464,0,432,8291,2196,222,114,-4438,1,5274,209,21129
2026/5/2,8:30,22073,1314,5871,1640,83,740,1457,0,429,9773,2517,203,102,-4251,1,4605,209,22074
2026/5/2,9:00,22894,1313,5681,1642,84,746,1424,0,428,10481,3364,217,84,-3965,1,4658,185,22895
2026/5/2,9:30,23647,1314,5637,1641,84,823,1398,0,428,11286,3859,196,68,-3772,1,4428,183,23647
2026/5/2,10:00,24037,1314,5742,1640,85,875,1339,0,428,11568,4497,112,133,-3927,1,4680,181,24038
2026/5/2,10:30,24145,1315,5605,1642,84,880,1336,0,428,11821,4714,94,124,-3904,1,4663,181,24146
2026/5/2,11:00,24281,1315,5572,1642,85,908,1339,0,430,11984,4885,88,142,-3959,1,4706,171,24282
2026/5/2,11:30,24460,1314,5598,1641,84,903,1332,0,431,12245,4752,157,84,-4119,1,4699,173,24459
2026/5/2,12:00,24249,1314,6113,1639,84,855,1322,0,428,11882,4963,70,165,-4386,1,4762,164,24248
2026/5/2,12:30,24139,1314,5844,1664,85,874,1328,0,429,11972,4486,71,173,-4370,1,4762,165,24139
2026/5/2,13:00,24140,1313,5683,1780,85,876,1362,0,432,12157,3650,106,185,-4577,1,4762,161,24141
2026/5/2,13:30,23861,1314,5897,1822,84,867,1387,0,433,11863,2871,196,129,-4963,1,4804,155,23860
2026/5/2,14:00,23522,1314,6659,1945,85,954,1398,0,434,10485,2836,135,183,-4800,1,4756,156,23522
2026/5/2,14:30,23391,1315,6423,2036,84,945,1393,0,432,9747,1902,281,70,-4099,5,4673,157,23392
2026/5/2,15:00,23309,1315,6081,2225,84,927,1352,0,434,8914,796,305,29,-3442,7,4944,161,23307
2026/5/2,15:30,23560,1315,6502,2437,84,934,1366,0,437,6918,626,257,34,-2458,0,5610,160,23562
2026/5/2,16:00,24159,1315,6675,2751,89,922,1439,0,469,5210,0,303,0,-918,2,5746,156,24159
2026/5/2,16:30,23839,1315,7499,2786,101,933,1431,0,473,3017,0,291,0,764,1,5069,159,23839
2026/5/2,17:00,23935,1315,7761,2817,103,983,1421,0,474,1475,0,295,0,2362,2,4742,184,23934
2026/5/2,17:30,24421,1315,7763,2815,103,985,1427,0,473,497,0,298,0,3329,19,5193,204,24421
2026/5/2,18:00,25261,1314,8454,2815,102,967,1526,0,475,56,0,292,0,3782,28,5241,208,25260
2026/5/2,18:30,25870,1314,8568,2816,102,965,1535,0,475,0,0,283,0,4444,28,5100,240,25870
2026/5/2,19:00,25660,1314,8500,2814,102,989,1567,0,476,0,0,253,0,4646,28,4729,243,25661
