単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/8/1,0:00,32027,1296,13919,7614,389,1421,1773,0,470,0,0,86,0,3,10,4885,160,32026
2026/8/1,0:30,30808,1295,13217,7493,340,1425,1761,0,470,0,0,95,0,0,2,4497,214,30809
2026/8/1,1:00,29739,1296,12042,7441,339,1401,1744,0,471,0,0,109,0,0,4,4640,252,29739
2026/8/1,1:30,28939,1295,11539,7381,340,1360,1747,0,471,0,0,125,0,-312,0,4739,254,28939
2026/8/1,2:00,28319,1296,11742,7303,340,1328,1752,0,472,0,0,133,0,-1828,9,5510,261,28318
2026/8/1,2:30,27960,1296,11572,7301,339,1252,1774,0,472,0,0,144,0,-1922,0,5472,259,27959
2026/8/1,3:00,27590,1296,11105,7310,340,1276,1855,0,474,0,0,157,0,-1965,2,5479,261,27590
2026/8/1,3:30,27448,1296,11488,7383,341,1251,1860,0,474,0,0,165,0,-2253,2,5189,253,27449
2026/8/1,4:00,27345,1296,11255,7453,340,1271,1855,0,474,0,0,165,0,-2264,0,5253,246,27344
2026/8/1,4:30,27155,1296,11194,7501,340,1297,1838,0,473,0,0,166,0,-2543,0,5379,214,27155
2026/8/1,5:00,27235,1295,11741,7628,340,1306,1822,0,472,72,0,168,0,-3057,1,5258,189,27235
2026/8/1,5:30,27166,1295,11498,7648,341,1320,1831,0,473,483,0,175,0,-3740,6,5676,160,27166
2026/8/1,6:00,27691,1294,11274,7645,342,1361,1790,0,474,1257,0,183,0,-4453,3,6320,201,27691
2026/8/1,6:30,28719,1295,11051,7551,345,1400,1807,0,474,2504,0,181,0,-4733,2,6590,252,28719
2026/8/1,7:00,30618,1295,11419,7448,348,1423,1824,0,471,4077,0,169,0,-4624,2,6506,261,30619
2026/8/1,7:30,32631,1296,11307,7450,349,1377,1825,0,470,5844,0,185,0,-3822,0,6116,236,32633
2026/8/1,8:00,35325,1296,10840,7446,348,1387,1819,0,466,7467,0,194,0,-2400,0,6169,292,35324
2026/8/1,8:30,37610,1296,11409,7445,347,1353,1811,0,463,8708,0,208,0,-1800,1,6084,284,37609
2026/8/1,9:00,39623,1294,12224,7266,348,1380,1796,0,463,9571,0,181,0,-1333,1,6146,287,39624
2026/8/1,9:30,40840,1295,12156,7182,348,1333,1785,0,461,10298,0,209,0,-826,1,6320,280,40842
2026/8/1,10:00,42213,1295,12731,7187,349,1350,1773,0,458,11058,0,219,0,-633,1,6156,269,42213
2026/8/1,10:30,43381,1295,12831,7186,347,1364,1762,0,459,11670,0,221,0,-469,3,6450,262,43381
2026/8/1,11:00,44289,1296,13316,7187,346,1390,1784,0,459,11714,0,223,0,0,4,6348,221,44288
2026/8/1,11:30,44800,1296,14471,7187,346,1399,1792,0,459,11373,0,212,0,0,5,6040,220,44800
2026/8/1,12:00,44774,1296,14554,7182,346,1387,1809,0,488,10956,0,192,0,0,3,6339,222,44774
