単位[MW平均],,,供給力,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/04/01,00:00,11974,0,4628,2064,0,224,0,1196,2,532,0,0,0,152,0,10,0,3116,50,11974
2026/04/01,00:30,11618,0,4326,2058,0,222,0,1190,2,526,0,0,0,176,0,2,2,3066,48,11618
2026/04/01,01:00,11516,0,4316,2074,0,226,0,1234,2,528,0,0,0,164,0,4,0,2924,44,11516
2026/04/01,01:30,11432,0,4436,2060,0,222,0,1296,2,532,0,0,0,134,0,-80,2,2778,50,11432
2026/04/01,02:00,11498,0,4646,2074,0,226,0,1282,0,528,0,0,0,142,0,-250,2,2798,50,11498
2026/04/01,02:30,11720,0,4642,2058,0,236,0,1302,2,530,0,0,0,152,0,-226,2,2972,50,11720
2026/04/01,03:00,11766,0,4598,2072,0,240,0,1286,2,528,0,0,0,174,0,-16,2,2830,50,11766
2026/04/01,03:30,11970,0,4564,2062,0,240,0,1266,2,534,0,0,0,192,0,-64,4,3116,54,11970
2026/04/01,04:00,12076,0,4318,2072,0,238,0,1226,2,532,0,0,0,198,0,-42,2,3474,56,12076
2026/04/01,04:30,12024,0,4248,2058,0,240,0,1226,2,534,0,0,0,174,0,-30,0,3510,62,12024
2026/04/01,05:00,12232,0,4530,2072,0,240,0,1224,2,526,0,0,0,148,0,-24,2,3438,74,12232
2026/04/01,05:30,12136,0,4714,2056,0,238,0,1228,2,536,0,22,0,136,0,-22,2,3160,64,12136
2026/04/01,06:00,12138,0,4430,2030,0,228,0,1214,2,530,0,412,0,130,0,-90,2,3196,54,12138
2026/04/01,06:30,12172,0,4712,1860,0,224,0,1254,2,540,0,1154,0,110,0,-470,0,2750,36,12172
2026/04/01,07:00,12552,0,4968,1844,0,226,0,1236,0,528,0,1848,0,118,0,-482,2,2226,38,12552
2026/04/01,07:30,13008,0,5438,1892,0,226,0,1222,2,534,0,1928,0,80,0,-526,4,2172,36,13008
2026/04/01,08:00,14026,0,6662,1940,0,238,0,1258,2,528,0,1794,0,42,0,-500,2,2000,60,14026
2026/04/01,08:30,14934,0,7228,1960,0,244,0,1194,2,538,0,1362,0,14,0,-372,8,2698,58,14934
2026/04/01,09:00,15748,0,7546,1966,0,246,0,1200,2,526,0,1238,0,20,0,-240,4,3178,62,15748
2026/04/01,09:30,15964,0,7286,1962,0,234,0,1194,2,534,0,1320,0,20,0,20,4,3328,60,15964
2026/04/01,10:00,16008,0,7536,1974,0,218,0,1198,2,530,0,1562,0,20,0,16,0,2882,70,16008
2026/04/01,10:30,16078,0,7958,1960,0,218,0,1212,2,536,0,1354,0,10,0,-110,2,2850,86,16078
2026/04/01,11:00,16118,0,7878,1970,0,220,0,1212,2,532,0,1226,0,12,0,20,6,2952,88,16118
2026/04/01,11:30,16126,0,7822,1960,0,214,0,1212,2,532,0,1188,0,12,0,148,6,2936,94,16126
2026/04/01,12:00,15376,0,7456,1974,0,216,0,1188,0,532,0,1256,0,4,0,44,8,2608,90,15376
2026/04/01,12:30,15106,0,7232,1956,0,214,0,1216,2,538,0,1262,0,0,0,6,4,2584,92,15106
2026/04/01,13:00,16006,0,8224,1976,0,214,0,1286,2,530,0,1272,0,4,0,220,8,2192,78,16006
2026/04/01,13:30,16136,0,8084,1954,0,210,0,1368,2,538,0,1174,0,0,0,280,6,2438,82,16136
2026/04/01,14:00,16124,0,8398,1976,0,204,0,1448,2,532,0,1038,0,0,0,500,8,1938,80,16124
2026/04/01,14:30,15980,0,8318,1946,0,200,0,1484,2,534,0,912,0,0,0,614,2,1882,86,15980
2026/04/01,15:00,15746,0,8334,1924,0,206,0,1490,2,532,0,760,0,0,0,616,12,1786,84,15746
2026/04/01,15:30,15862,0,8354,1908,0,210,0,1472,2,534,0,542,0,0,0,814,4,1942,80,15862
2026/04/01,16:00,15900,0,8486,1922,0,218,0,1542,0,536,0,336,0,2,0,1004,6,1766,82,15900
2026/04/01,16:30,15758,0,8082,1910,0,220,0,1592,2,540,0,222,0,6,0,1356,6,1726,96,15758
2026/04/01,17:00,15550,0,7942,1920,0,220,0,1598,2,536,0,86,0,4,0,1412,6,1732,92,15550
2026/04/01,17:30,15660,0,7844,1910,0,220,0,1606,2,540,0,24,0,18,0,1956,14,1434,92,15660
2026/04/01,18:00,15582,0,7690,1924,0,220,0,1612,2,532,0,0,0,22,0,1694,18,1778,90,15582
2026/04/01,18:30,15428,0,7694,1908,0,218,0,1590,2,542,0,0,0,22,0,1472,14,1876,90,15428
2026/04/01,19:00,15102,0,7668,1922,0,220,0,1570,2,534,0,0,0,36,0,1386,10,1660,94,15102
2026/04/01,19:30,14822,0,7698,1912,0,220,0,1594,2,540,0,0,0,46,0,1506,10,1204,90,14822
2026/04/01,20:00,14590,0,7702,1922,0,222,0,1580,0,536,0,0,0,50,0,1292,10,1188,88,14590
2026/04/01,20:30,14320,0,7774,1910,0,218,0,1594,2,540,0,0,0,56,0,1318,10,804,94,14320
2026/04/01,21:00,14134,0,7308,1924,0,220,0,1592,2,530,0,0,0,40,0,1012,0,1418,88,14134
