単位[MW平均],,,供給力,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/05/01,00:00,9718,0,3762,1756,0,114,0,1524,2,590,0,0,0,254,0,4,2,1610,100,9718
2026/05/01,00:30,9498,0,3714,1758,0,118,0,1516,2,582,0,0,0,244,0,-170,0,1634,100,9498
2026/05/01,01:00,9350,0,3632,1756,0,120,0,1554,2,566,0,0,0,212,0,-322,2,1728,100,9350
2026/05/01,01:30,9310,0,3730,1756,0,116,0,1530,0,548,0,0,0,218,0,-448,0,1764,96,9310
2026/05/01,02:00,9396,0,3624,1794,0,114,0,1538,2,514,0,0,0,212,0,-436,0,1906,128,9396
2026/05/01,02:30,9592,0,4032,1806,0,118,0,1558,2,520,0,0,0,222,0,-440,2,1636,136,9592
2026/05/01,03:00,9916,0,4154,1808,0,114,0,1614,2,514,0,0,0,216,0,-248,8,1594,140,9916
2026/05/01,03:30,9930,0,4132,1808,0,112,0,1632,2,518,0,0,0,222,0,-208,6,1564,142,9930
2026/05/01,04:00,10048,0,4276,1808,0,116,0,1630,2,514,0,0,0,200,0,-204,6,1548,152,10048
2026/05/01,04:30,10092,0,4114,1810,0,116,0,1650,2,514,0,0,0,244,0,-204,4,1692,150,10092
2026/05/01,05:00,10272,0,4462,1806,0,116,0,1642,0,512,0,8,0,236,0,-50,0,1390,150,10272
2026/05/01,05:30,10056,0,4120,1806,0,114,0,1662,2,518,0,14,0,182,0,48,2,1438,150,10056
2026/05/01,06:00,10220,0,4320,1806,0,112,0,1680,2,512,0,28,0,202,0,-94,2,1498,152,10220
2026/05/01,06:30,10444,0,4554,1806,0,106,0,1686,2,514,0,82,0,174,0,54,12,1300,154,10444
2026/05/01,07:00,10690,0,4698,1806,0,106,0,1714,2,504,0,176,0,180,0,194,2,1150,158,10690
2026/05/01,07:30,11106,0,4836,1808,0,102,0,1730,2,512,0,308,0,170,0,184,2,1292,160,11106
2026/05/01,08:00,11548,0,4872,1806,0,102,0,1714,0,510,0,492,0,138,0,590,4,1142,178,11548
2026/05/01,08:30,11996,0,4616,1806,0,98,0,1718,2,516,0,836,0,126,0,872,4,1228,174,11996
2026/05/01,09:00,12364,0,4552,1808,0,102,0,1676,2,508,0,1274,0,94,0,864,4,1296,184,12364
2026/05/01,09:30,12320,0,4640,1810,0,106,0,1674,2,516,0,1612,0,72,0,706,2,996,184,12320
2026/05/01,10:00,12046,0,3948,1800,0,116,0,1678,2,506,0,2200,0,116,0,352,2,1140,186,12046
2026/05/01,10:30,12422,0,3344,1802,0,110,0,1698,2,516,0,2958,0,154,0,38,4,1612,184,12422
2026/05/01,11:00,12292,0,3256,1808,0,112,0,1702,2,508,0,3290,0,150,0,-200,8,1468,188,12292
2026/05/01,11:30,12204,0,2708,1804,0,108,0,1698,0,512,0,3956,0,136,0,-206,4,1290,194,12204
2026/05/01,12:00,11716,0,1890,1794,0,100,0,1674,2,498,7,4854,0,154,0,-584,0,1134,200,11716
2026/05/01,12:30,11602,0,1954,1800,0,100,0,1680,2,518,0,5382,0,158,0,-1284,2,1088,202,11602
2026/05/01,13:00,12152,0,2788,1806,0,100,0,1686,2,506,0,5848,0,172,0,-1652,4,690,202,12152
