単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/02/01,00:00,14592,0,6864,4236,0,438,424,2,572,0,0,144,0,252,0,1620,40,14592
2026/02/01,00:30,14236,0,6570,4232,0,438,416,2,570,0,0,156,0,14,0,1800,38,14236
2026/02/01,01:00,14112,0,6448,4244,0,440,418,2,574,0,0,156,0,4,0,1784,42,14112
2026/02/01,01:30,14008,0,6486,4228,0,444,422,2,570,0,0,142,0,2,2,1672,38,14008
2026/02/01,02:00,14124,0,6266,4232,0,476,424,2,570,0,0,150,0,2,0,1958,44,14124
2026/02/01,02:30,14128,0,6274,4224,0,532,422,0,568,0,0,160,0,4,0,1910,34,14128
2026/02/01,03:00,14096,0,6152,4226,0,524,384,2,572,0,0,154,0,4,0,2034,44,14096
2026/02/01,03:30,14134,0,6310,4222,0,526,376,2,568,0,0,154,0,2,0,1912,62,14134
2026/02/01,04:00,13874,0,5940,4232,0,532,338,2,566,0,0,164,0,2,0,2024,74,13874
2026/02/01,04:30,13840,0,6166,4226,0,536,336,2,566,0,0,170,0,4,0,1766,68,13840
2026/02/01,05:00,13916,0,5950,4232,0,534,356,2,566,0,0,172,0,4,0,2016,84,13916
2026/02/01,05:30,14040,0,6284,4224,0,530,354,2,566,0,0,176,0,2,0,1814,88,14040
2026/02/01,06:00,14322,0,6768,4226,0,528,356,2,566,0,0,174,0,4,2,1632,64,14322
2026/02/01,06:30,14664,0,7224,4226,0,520,354,2,568,6,0,162,0,2,0,1540,60,14664
2026/02/01,07:00,15048,0,7604,4230,0,524,362,2,566,206,0,172,0,102,0,1228,52,15048
2026/02/01,07:30,15296,0,6786,4224,0,526,360,2,566,956,0,166,0,234,0,1424,52,15296
2026/02/01,08:00,15512,0,6062,4230,0,518,380,2,568,2046,0,156,0,40,0,1460,50,15512
2026/02/01,08:30,15472,0,5026,4166,0,522,390,2,560,3150,0,154,0,-4,2,1454,50,15472
2026/02/01,09:00,15376,0,4496,3742,0,526,382,0,568,4140,0,164,0,-442,0,1776,24,15376
2026/02/01,09:30,15124,0,3828,3676,0,512,396,2,570,4930,0,176,0,-1160,0,2174,20,15124
2026/02/01,10:00,14764,0,2798,3598,0,508,348,2,566,5856,0,166,0,-1494,2,2392,22,14764
2026/02/01,10:30,14324,0,3116,3246,0,512,344,2,568,6392,0,176,0,-1660,0,1606,22,14324
2026/02/01,11:00,14258,0,3426,3060,0,498,340,2,566,6412,0,174,0,-1266,2,1022,22,14258
2026/02/01,11:30,13884,0,3194,3056,0,484,344,2,568,6396,0,188,0,-1184,0,816,20,13884
2026/02/01,12:00,13796,0,3114,3166,0,480,344,2,558,6294,0,172,0,-1254,0,896,24,13796
2026/02/01,12:30,13286,0,2848,2982,0,482,344,2,552,6206,0,172,0,-1178,0,860,16,13286
2026/02/01,13:00,13318,0,3078,3170,0,474,344,0,546,6032,0,172,0,-1140,2,616,24,13318
2026/02/01,13:30,13094,0,3198,3196,0,468,344,2,554,5562,0,178,0,-952,0,508,36,13094
2026/02/01,14:00,12964,0,3416,3044,0,464,350,2,556,5016,0,194,0,-524,2,396,48,12964
2026/02/01,14:30,13080,0,3952,3218,0,476,350,2,564,4094,0,184,0,-378,2,564,52,13080
2026/02/01,15:00,12950,0,3394,3632,0,480,372,2,564,3212,0,168,0,4,0,1064,58,12950
2026/02/01,15:30,13330,0,4332,3884,0,498,410,2,566,2110,0,160,0,56,2,1262,48,13330
2026/02/01,16:00,13620,0,5168,4028,0,522,492,2,568,1072,0,158,0,78,0,1454,78,13620
2026/02/01,16:30,14476,0,6650,4208,0,532,566,2,566,344,0,142,0,2,2,1380,82,14476
2026/02/01,17:00,15270,0,7592,4228,0,532,658,2,562,22,0,128,0,74,2,1388,82,15270
2026/02/01,17:30,16012,0,8430,4228,0,524,658,2,564,0,0,146,0,412,4,954,90,16012
2026/02/01,18:00,16170,0,8406,4228,0,524,710,2,564,0,0,156,0,338,2,1114,126,16170
2026/02/01,18:30,16420,0,8414,4224,0,526,708,2,564,0,0,152,0,546,2,1158,124,16420
2026/02/01,19:00,16330,0,8430,4232,0,530,704,2,568,0,0,134,0,588,2,1008,132,16330
2026/02/01,19:30,16438,0,8528,4228,0,532,708,0,558,0,0,126,0,532,4,1100,122,16438
2026/02/01,20:00,16264,0,8416,4232,0,524,672,2,564,0,0,134,0,318,2,1290,110,16264
2026/02/01,20:30,16206,0,8770,4224,0,528,632,2,560,0,0,128,0,238,2,1018,104,16206
2026/02/01,21:00,15946,0,8532,4230,0,534,502,2,562,0,0,120,0,368,0,990,106,15946
2026/02/01,21:30,15612,0,8300,4224,0,524,466,2,556,0,0,136,0,350,2,954,98,15612
2026/02/01,22:00,15130,0,8494,4230,0,510,372,2,558,0,0,144,0,188,0,554,78,15130
2026/02/01,22:30,14696,0,7808,4226,0,506,358,2,558,0,0,132,0,2,2,1030,72,14696
2026/02/01,23:00,14344,0,7282,4228,0,476,360,2,566,0,0,118,0,4,0,1232,76,14344
2026/02/01,23:30,14140,0,7016,4232,0,480,352,2,558,0,0,126,0,2,2,1298,72,14140
2026/02/02,00:00,13878,0,6654,4224,0,486,354,2,564,0,0,154,0,-172,0,1566,46,13878
2026/02/02,00:30,13500,0,6500,4222,0,468,358,2,558,0,0,180,0,-382,2,1546,46,13500
2026/02/02,01:00,13622,0,6760,4232,0,488,352,2,558,0,0,184,0,-382,0,1384,44,13622
2026/02/02,01:30,13734,0,6836,4228,0,462,346,2,558,0,0,190,0,-376,0,1452,36,13734
