単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/03/01,00:00,10846,0,3492,3532,0,436,708,2,608,0,0,220,0,442,0,1284,122,10846
2026/03/01,00:30,10638,0,3402,3488,0,432,694,2,610,0,0,210,0,270,2,1410,118,10638
2026/03/01,01:00,10498,0,3022,3430,0,430,694,2,610,0,0,210,0,268,4,1698,130,10498
2026/03/01,01:30,10504,0,3094,3442,0,448,692,2,608,0,0,204,0,270,2,1616,126,10504
2026/03/01,02:00,10618,0,3164,3528,0,428,696,2,610,0,0,208,0,278,2,1594,108,10618
2026/03/01,02:30,10930,0,3512,3616,0,438,686,2,608,0,0,226,0,274,2,1458,108,10930
2026/03/01,03:00,11134,0,3368,3750,0,444,700,0,608,0,0,220,0,268,2,1672,102,11134
2026/03/01,03:30,11124,0,3272,3680,0,418,714,2,604,0,0,224,0,276,6,1834,94,11124
2026/03/01,04:00,11318,0,3670,3482,0,418,772,2,608,0,0,220,0,274,8,1766,98,11318
2026/03/01,04:30,11282,0,3688,3464,0,414,776,2,602,0,0,206,0,138,12,1890,90,11282
2026/03/01,05:00,11520,0,3844,3504,0,408,780,2,604,0,0,194,0,318,8,1760,98,11520
2026/03/01,05:30,11202,0,3484,3120,0,412,774,2,604,0,0,196,0,320,8,2188,94,11202
2026/03/01,06:00,11390,0,3960,3020,0,412,752,2,606,6,0,192,0,382,20,1944,94,11390
2026/03/01,06:30,11270,0,4348,3068,0,376,720,0,602,194,0,196,0,440,2,1240,84,11270
2026/03/01,07:00,11286,0,4262,2846,0,352,682,2,606,998,0,188,0,132,4,1124,90,11286
2026/03/01,07:30,11430,0,3782,2416,0,342,690,2,600,2334,0,176,0,-242,0,1244,86,11430
2026/03/01,08:00,11476,0,3258,1890,0,340,702,2,602,3774,0,166,0,-1562,0,2182,122,11476
2026/03/01,08:30,11434,0,2682,1556,0,344,716,2,596,5180,0,146,0,-2646,2,2738,118,11434
2026/03/01,09:00,11458,0,2636,1430,0,348,760,2,582,6306,0,150,0,-3030,2,2146,126,11458
2026/03/01,09:30,11378,0,2282,1404,0,322,764,2,560,7152,276,76,11,-3516,2,2212,118,11378
2026/03/01,10:00,11138,0,2236,1408,0,300,744,2,556,7856,299,62,11,-3640,2,1556,56,11138
2026/03/01,10:30,11148,0,2292,1404,0,296,718,2,548,8380,312,60,21,-3638,0,1036,50,11148
2026/03/01,11:00,10866,0,2158,1406,0,292,648,2,546,8674,335,64,17,-3732,0,756,52,10866
2026/03/01,11:30,10876,0,2182,1406,0,294,634,0,550,8500,667,50,19,-3724,0,934,50,10876
2026/03/01,12:00,10730,0,2160,1414,0,292,638,2,550,8320,781,38,18,-3722,0,986,52,10730
2026/03/01,12:30,10560,0,2212,1404,0,294,630,2,548,8004,957,28,16,-3694,2,1088,42,10560
2026/03/01,13:00,10386,0,2172,1402,0,294,658,2,550,7874,784,42,17,-3712,0,1050,54,10386
2026/03/01,13:30,10464,0,2204,1398,0,292,654,2,548,7894,296,54,17,-3670,0,1042,46,10464
2026/03/01,14:00,10176,0,2140,1404,0,294,660,2,552,7288,274,38,17,-3448,0,1194,52,10176
2026/03/01,14:30,10304,0,2242,1402,0,298,660,2,550,6588,0,46,0,-3040,0,1510,46,10304
2026/03/01,15:00,10156,0,2176,1410,0,316,790,2,562,5490,0,38,0,-2128,0,1444,56,10156
2026/03/01,15:30,10374,0,2934,1578,0,352,794,2,580,4120,0,38,0,-1478,4,1378,72,10374
2026/03/01,16:00,10548,0,3242,2114,0,376,830,2,592,2678,0,32,0,-784,8,1376,82,10548
2026/03/01,16:30,10680,0,3556,2404,0,396,838,2,596,1270,0,28,0,104,6,1396,84,10680
2026/03/01,17:00,11258,0,3710,2742,0,404,916,0,596,328,0,32,0,1648,8,782,92,11258
2026/03/01,17:30,11788,0,3566,2828,0,412,934,2,592,18,0,34,0,2560,12,740,90,11788
2026/03/01,18:00,12418,0,3510,3060,0,408,954,2,592,0,0,36,0,2410,10,1276,160,12418
2026/03/01,18:30,12306,0,3742,3212,0,412,946,2,596,0,0,40,0,1506,12,1668,170,12306
2026/03/01,19:00,12594,0,3796,3366,0,406,952,2,598,0,0,38,0,1528,8,1708,192,12594
2026/03/01,19:30,12342,0,3738,3690,0,408,958,2,592,0,0,26,0,1000,6,1740,182,12342
2026/03/01,20:00,12528,0,3986,3764,0,414,932,2,598,0,0,18,0,1216,8,1418,172,12528
2026/03/01,20:30,12242,0,3922,3782,0,414,914,2,594,0,0,12,0,902,4,1540,156,12242
2026/03/01,21:00,12168,0,4178,3904,0,412,890,0,598,0,0,16,0,310,2,1732,126,12168
2026/03/01,21:30,12018,0,3858,4020,0,408,896,2,596,0,0,10,0,236,2,1880,110,12018
2026/03/01,22:00,11610,0,3496,4112,0,414,806,2,594,0,0,6,0,122,0,1952,106,11610
2026/03/01,22:30,11384,0,3274,4080,0,410,780,2,600,0,0,8,0,114,0,2012,104,11384
2026/03/01,23:00,11238,0,3526,4062,0,398,676,2,598,0,0,8,0,118,2,1748,100,11238
2026/03/01,23:30,11124,0,3676,4034,0,398,666,2,596,0,0,8,0,68,0,1586,90,11124
2026/03/02,00:00,10732,0,3170,4040,0,396,554,2,586,0,0,6,0,4,0,1908,66,10732
2026/03/02,00:30,10668,0,3384,3968,0,398,530,2,562,0,0,8,0,2,0,1752,62,10668
2026/03/02,01:00,10630,0,3178,3852,0,398,532,2,560,0,0,6,0,4,0,2032,66,10630
2026/03/02,01:30,10744,0,3326,3962,0,398,526,2,552,0,0,6,0,2,0,1906,64,10744
