executed_at,execution_mode,approval_env_enabled,source_page,final_url,page_status,discovered_link_count,primary_candidate_count,selected_file,download_status,saved_file,sha256,parse_status,parsed_rows,primary_rows,error_message
2026-07-20T16:20:14.743784+09:00,승인 상태 페이지 1회 진단,True,https://www.eprx.or.jp/information/results.php,https://www.eprx.or.jp/information/agree_results.php,200,0,0,,동의 페이지로 중단,,,미실행,0,0,거래실적 동의 페이지가 반환되어 링크 탐색과 다운로드를 중단함
2026-07-20T16:23:07.320934+09:00,시험 다운로드,True,https://www.eprx.or.jp/information/results.php,https://www.eprx.or.jp/information/agree_results.php,200,0,0,,미실행,,,미실행,0,0,거래실적 동의 페이지가 반환되었습니다. 브라우저의 동의 상태는 Python requests 세션에 자동 공유되지 않습니다.
